Unnamed: 0,Index,Count,site_country_code,admin_project_code,admin_data_partner,admin_project_contact,bldg_use_type,bldg_use_subtype,bldg_project_status,site_country,bldg_year_permit,bldg_year_complete,bldg_year_complete_interval,bldg_QTO_type,bldg_area_definition,bldg_area_gfa,bldg_area_hfa,bldg_area_interval,bldg_users_total,bldg_floors_ag,bldg_floors_ag_interval,bldg_floors_bg,bldg_struct_type,bldg_roof_type,bldg_energy_class_general,bldg_energy_class_country,bldg_certification,inv_energy_consumption,inv_mat_mass_total,inv_mat_mass_total_m2,inv_mat_mass_total_capita,inv_mat_mass_sum_top_5,inv_mat_mass_ratio,inv_mat_1_type,inv_mat_1_mass,inv_mat_2_type,inv_mat_2_mass,inv_mat_3_type,inv_mat_3_mass,inv_mat_4_type,inv_mat_4_mass,inv_mat_5_type,inv_mat_5_mass,mass_aluminium,mass_bamboo,mass_brass_copper,mass_cement_mortar,mass_ceramics,mass_concrete_reinforced,mass_concrete_wo_reinforcement,mass_earth,mass_EPS_XPS,mass_fungi,mass_glass,mass_metals,mass_plastics,mass_steel_reinforcement,mass_stone,mass_stone_wool,mass_straw_hemp,mass_wood,mass_other,mass_eurostat_metal_materials,mass_eurostat_non-metallic_minerals,mass_eurostat_fossil_energy_materials,mass_eurostat_biomass_based_materials,lca_RSP,lca_software,lca_database,lca_scenarios_decarbonisation,scope_parts,scope_LCS,scope_LCM,scope_parts_1_ground,scope_parts_2_structure,scope_parts_3_secondary,scope_parts_4_finishes,scope_parts_5_mechanical,scope_parts_6_electrical,scope_parts_6+_renewables,scope_parts_7_facilities,scope_parts_8_fittings,scope_LCS_A123,scope_LCS_A4,scope_LCS_A5,scope_LCS_B1,scope_LCS_B2,scope_LCS_B3,scope_LCS_B4,scope_LCS_B5,scope_LCS_B6,scope_LCS_B7,scope_LCS_B8,scope_LCS_C1,scope_LCS_C2,scope_LCS_C3,scope_LCS_C4,scope_LCS_D,scope_handling_D,GHG_sum_em,GHG_sum_em_m2a,GHG_sum_em_capita_a,GHG_A_m2a,GHG_B_em_m2a,GHG_B_op_m2a,GHG_C_m2a,GHG_A_capita_a,GHG_B_em_capita_a,GHG_B_op_capita_a,GHG_C_capita_a,GHG_A1_m2a,GHG_A2_m2a,GHG_A3_m2a,GHG_A4_m2a,GHG_A5_m2a,GHG_B1_m2a,GHG_B2_m2a,GHG_B3_m2a,GHG_B4_m2a,GHG_B6_m2a,GHG_B7_m2a,GHG_C1_m2a,GHG_C2_m2a,GHG_C3_m2a,GHG_C4_m2a,GHG_A123_m2a,GHG_A45_m2a,GHG_B1234_m2a,GHG_B5_m2a,GHG_B67_m2a,GHG_C12_m2a,GHG_C34_m2a,GHG_D_m2a,GHG_A123_m2a_APEN,GHG_A45_m2a_APEN,GHG_B1234_m2a_APEN,GHG_B5_m2a_APEN,GHG_B67_m2a_APEN,GHG_C12_m2a_APEN,GHG_C34_m2a_APEN,GHG_D_m2a_APEN,GHG_sum_em_m2a_APEN,GHG_sum_op_m2a_APEN,GHG_A123_m2a_harm,GHG_A45_m2a_harm,GHG_B1234_m2a_harm,GHG_B5_m2a_harm,GHG_B67_m2a_harm,GHG_C12_m2a_harm,GHG_C34_m2a_harm,GHG_sum_em_m2a_harm,GHG_A123_m2a_harm_LCM,GHG_A45_m2a_harm_LCM,GHG_B1234_m2a_harm_LCM,GHG_B5_m2a_harm_LCM,GHG_C12_m2a_harm_LCM,GHG_C34_m2a_harm_LCM,GHG_P1_sum_m2a,GHG_P1_A123_m2a,GHG_P1_A45_m2a,GHG_P1_B1234_m2a,GHG_P1_B5_m2a,GHG_P1_C12_m2a,GHG_P1_C34_m2a,GHG_P1_D_m2a,GHG_P2_sum_m2a,GHG_P2_A123_m2a,GHG_P2_A45_m2a,GHG_P2_B1234_m2a,GHG_P2_B5_m2a,GHG_P2_C12_m2a,GHG_P2_C34_m2a,GHG_P2_D_m2a,GHG_P34_sum_m2a,GHG_P34_A123_m2a,GHG_P34_A45_m2a,GHG_P34_B1234_m2a,GHG_P34_B5_m2a,GHG_P34_C12_m2a,GHG_P34_C34_m2a,GHG_P34_D_m2a,GHG_P4_sum_m2a,GHG_P4_A123_m2a,GHG_P4_A45_m2a,GHG_P4_B1234_m2a,GHG_P4_B5_m2a,GHG_P4_C12_m2a,GHG_P4_C34_m2a,GHG_P4_D_m2a,GHG_P56_sum_m2a,GHG_P56_A123_m2a,GHG_P56_A45_m2a,GHG_P56_B1234_m2a,GHG_P56_B5_m2a,GHG_P56_C12_m2a,GHG_P56_C34_m2a,GHG_P56_D_m2a,GHG_P78_sum_m2a,GHG_P78_A123_m2a,GHG_P78_A45_m2a,GHG_P78_B1234_m2a,GHG_P78_B5_m2a,GHG_P78_C12_m2a,GHG_P78_C34_m2a,GHG_P78_D_m2a,GHG_sum_em_m2pertonGHG_a,GHG_sum_em_m2pertonGHG,GHG_sum_op_m2pertonGHG_a,GHG_sum_op_m2pertonGHG,GHG_sum_em_cappertonGHG_a,GHG_sum_em_cappertonGHG,GHG_sum_op_cappertonGHG_a,GHG_sum_op_cappertonGHG,ratio_A123_LCM,ratio_A45_LCM,ratio_B1234_LCM,ratio_B5_LCM,ratio_C12_LCM,ratio_C34_LCM,ratio_A123_parts,ratio_A45_parts,ratio_B1234_parts,ratio_B5_parts,ratio_C12_parts,ratio_C34_parts,mass_Eurostat_Metals,mass_Eurostat_CCA,mass_Eurostat_Non-CCA-minerals,mass_Eurostat_Bio-based,mass_Eurostat_Other-materials,mass_total_mats,mass_total_eurostat,mi_aluminium,mi_bamboo,mi_brass_copper,mi_cement_mortar,mi_ceramics,mi_concrete_reinforced,mi_concrete_wo_reinforcement,mi_earth,mi_EPS_XPS,mi_fungi,mi_glass,mi_metals,mi_plastics,mi_steel_reinforcement,mi_stone,mi_stone_wool,mi_straw_hemp,mi_wood,mi_other,mi_eurostat_metal_materials,mi_eurostat_non-metallic_minerals,mi_eurostat_fossil_energy_materials,mi_eurostat_biomass_based_materials,mi_Eurostat_Metals,mi_Eurostat_CCA,mi_Eurostat_Non-CCA-minerals,mi_Eurostat_Bio-based,mi_Eurostat_Other-materials,source_code,meta_source,meta_authors,meta_year,meta_title,meta_journal,meta_DOI_URL,site_region_local,site_climate_zone,site_seismic_hazard,site_region_world,bldg_project_type,bldg_area_value,bldg_area_specification,bldg_height,bldg_volume_gbv,bldg_area_envelope,bldg_area_windows,bldg_area_walls_ext,bldg_footprint,bldg_orientation,bldg_attached_faces,bldg_ratio_window_to_wall,bldg_shape_factor,bldg_ratio_window_to_floor,bldg_ratio_wall_ext_to_floor,bldg_wall_internal_type,bldg_wall_internal_area,bldg_construction_method,bldg_wall_ext_uvalue,bldg_roof_uvalue,bldg_inertia,bldg_energy_provision,bldg_energy_sources,bldg_energy_distribution,bldg_bipv_description,inv_energy_consumption_description,lca_goal_scope,lca_reference_unit,lca_functional_unit,lca_database_version,lca_database_other,lca_lcia_method,lca_model_type,inv_energy_consumption_type,scope_LCS_B6_heating,scope_LCS_B6_ventilation,scope_LCS_B6_cooling,scope_LCS_B6_DHW,scope_LCS_B6_lighting,scope_LCS_B6_appliances,lca_indicators_other,CED_EE_m2a,CED_OE_m2a,CED_A1-3_m2a,CED_A4-5_m2a,CED_B1-4_m2a,CED_B5_m2a,CED_B6-7_m2a,CED_C1-2_m2a,CED_C3-4_m2a,CED_D_m2a,CED_EE_share,CED_OE_share,GHG_EC_share,GHG_OC_share,CED_EE_m2a_APEN,CED_OE_m2a_APEN,CED_A1-3_m2a_APEN,CED_A4-5_m2a_APEN,CED_B1-4_m2a_APEN,CED_B5_m2a_APEN,CED_B6-7_m2a_APEN,CED_C1-2_m2a_APEN,CED_C3-4_m2a_APEN,CED_D_m2a_APEN
0,0,1,DK,BUILD01,BUILD,BUILD,Non-residential,Other,New Built,Denmark,,,2015-2019,As-built measurement,Denmark (BR18),,,15001-20000,,,,,,,New Standard,2015,No certification,,53200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,LCAbyg,Oekobau.dat,No,GLES,ABCD,PMOW,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,,8.09,,4.03,2.41,3.5,1.65,,,,,,,,,,,,,2.41,3.5,,,,1.55,0.1,4.03,,2.41,,3.5,,1.65,-1.17,,,,,,,,,,,4.03,,2.41,,3.5,,1.65,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.609394313967,2.47218788627935,285.714285714285,5.71428571428571,,,,,0.49814585908529,,0.297898640296662,,,0.203955500618046,0.49814585908529,,0.297898640296662,,,0.203955500618046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,DK,BUILD02,BUILD,BUILD,Non-residential,Other,New Built,Denmark,,,2015-2019,As-built measurement,Denmark (BR18),,,15001-20000,,,,,,,New Standard,2015,No certification,,24000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,LCAbyg,Oekobau.dat,No,GLEIS,ABCD,PMOW,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,,6.29,,1.73,1.91,3.5,2.65,,,,,,,,,,,,,1.91,3.5,,,,2.58,0.07,1.73,,1.91,,3.5,,2.65,-1.5,,,,,,,,,,,1.73,,1.91,,3.5,,2.65,6.28999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.982511923688,3.17965023847376,285.714285714285,5.71428571428571,,,,,0.27503974562798,,0.303656597774244,,,0.421303656597774,0.27503974562798,,0.303656597774244,,,0.421303656597774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1,DK,BUILD03,BUILD,BUILD,Non-residential,Other,New Built,Denmark,,,2015-2019,As-built measurement,Denmark (BR18),9819.0,9819.0,5001-10000,,,,,,,New Advanced,2020,No certification,,12500000.0,1273.0420613097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,LCAbyg,Oekobau.dat,No,GLEIS,ABCD,PMOW,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,,9.8,,8.35,0.65,2.67,0.799999999999999,,,,,,,,,,,,,0.65,2.67,,,,0.58,0.22,8.35,,0.65,,2.67,,0.799999999999999,-3.85,,,,,,,,,,,8.35,,0.65,,2.67,,0.8,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.04081632653,2.04081632653061,374.531835205992,7.49063670411985,,,,,0.85204081632653,,0.0663265306122449,,,0.0816326530612244,0.85204081632653,,0.0663265306122449,,,0.0816326530612244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,1,DK,BUILD04,BUILD,BUILD,Non-residential,Other,New Built,Denmark,,,2015-2019,As-built measurement,Denmark (BR18),19518.0,19518.0,15001-20000,,,,,,,New Standard,2015,No certification,,27800000.0,1424.32626293677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,LCAbyg,Oekobau.dat,No,GLEIS,ABCD,PMOW,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,,7.3,,6.18,0.7,2.69,0.42,,,,,,,,,,,,,0.7,2.69,,,,0.22,0.2,6.18,,0.7,,2.69,,0.42,-1.53,,,,,,,,,,,6.18,,0.7,,2.69,,0.42,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.986301369863,2.73972602739726,371.74721189591,7.43494423791821,,,,,0.846575342465753,,0.0958904109589041,,,0.0575342465753424,0.846575342465753,,0.0958904109589041,,,0.0575342465753424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,1,DK,BUILD05,BUILD,BUILD,Residential,Multi-family house,New Built,Denmark,,,2015-2019,As-built measurement,Denmark (BR18),,,10001-15000,,,,,,,New Standard,2015,DGNB,,19800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,LCAbyg,Oekobau.dat,No,GLEIS,ABCD,PMOW,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,,6.19,,4.9,0.39,2.09,0.899999999999999,,,,,,,,,,,,,0.39,2.09,,,,0.7,0.2,4.9,,0.39,,2.09,,0.899999999999999,-1.16,,,,,,,,,,,4.9,,0.39,,2.09,,0.899999999999999,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.550888529886,3.23101777059773,478.468899521531,9.56937799043062,,,,,0.791599353796446,,0.0630048465266559,,,0.145395799676898,0.791599353796446,,0.0630048465266559,,,0.145395799676898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,1,DK,BUILD06,BUILD,BUILD,Residential,Multi-family house,New Built,Denmark,,,2015-2019,As-built measurement,Denmark (BR18),,,10001-15000,,,,,,,New Advanced,2020,DGNB,,17400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,LCAbyg,Oekobau.dat,No,GLEIS,ABCD,PMOW,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,,6.65,,5.4,0.4,2.09,0.85,,,,,,,,,,,,,0.4,2.09,,,,0.35,0.5,5.4,,0.4,,2.09,,0.85,-1.21,,,,,,,,,,,5.4,,0.4,,2.09,,0.85,6.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.375939849624,3.00751879699248,478.468899521531,9.56937799043062,,,,,0.812030075187969,,0.0601503759398496,,,0.12781954887218,0.812030075187969,,0.0601503759398496,,,0.12781954887218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,1,DK,BUILD07,BUILD,BUILD,Residential,Multi-family house,New Built,Denmark,,,2015-2019,As-built measurement,Denmark (BR18),,,10001-15000,,,,,,,New Standard,2015,DGNB,,18200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,LCAbyg,Oekobau.dat,No,GLEIS,ABCD,PMOW,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,,6.26,,5.11,0.62,2.58,0.53,,,,,,,,,,,,,0.62,2.58,,,,0.36,0.17,5.11,,0.62,,2.58,,0.53,-0.75,,,,,,,,,,,5.11,,0.62,,2.58,,0.53,6.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.744408945686,3.19488817891373,387.596899224806,7.75193798449612,,,,,0.81629392971246,,0.0990415335463258,,,0.084664536741214,0.81629392971246,,0.0990415335463258,,,0.084664536741214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,1,DK,BUILD08,BUILD,BUILD,Residential,Multi-family house,New Built,Denmark,,,2015-2019,As-built measurement,Denmark (BR18),,,10001-15000,,,,,,,New Advanced,2020,DGNB,,21100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,LCAbyg,Oekobau.dat,No,GLEIS,ABCD,PMOW,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,,6.59999999999999,,5.35,0.64,2.38,0.61,,,,,,,,,,,,,0.64,2.38,,,,0.55,0.06,5.35,,0.64,,2.38,,0.61,-0.82,,,,,,,,,,,5.35,,0.64,,2.38,,0.61,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.515151515151,3.03030303030303,420.16806722689,8.40336134453781,,,,,0.81060606060606,,0.0969696969696969,,,0.0924242424242424,0.81060606060606,,0.0969696969696969,,,0.0924242424242424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,1,DK,BUILD09,BUILD,BUILD,Residential,Multi-family house,New Built,Denmark,,,2015-2019,As-built measurement,Denmark (BR18),,,1-5000,,,,,,,New Advanced,2020,DGNB,,5930000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,LCAbyg,Oekobau.dat,No,GLEIS,ABCD,PMOW,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,,7.34,,5.5,0.88,1.39,0.96,,,,,,,,,,,,,0.88,1.39,,,,0.68,0.28,5.5,,0.88,,1.39,,0.96,-0.69,,,,,,,,,,,5.5,,0.88,,1.39,,0.96,7.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.239782016348,2.72479564032697,719.424460431654,14.388489208633,,,,,0.749318801089918,,0.119891008174386,,,0.130790190735694,0.749318801089918,,0.119891008174386,,,0.130790190735694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,1,DK,BUILD10,BUILD,BUILD,Residential,Multi-family house,New Built,Denmark,,,2015-2019,As-built measurement,Denmark (BR18),,,1-5000,,,,,,,New Standard,2010,DGNB,,5010000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,LCAbyg,Oekobau.dat,No,GLEIS,ABCD,PMOW,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,separately considered,,7.68,,6.21,0.95,3.27,0.52,,,,,,,,,,,,,0.95,3.27,,,,0.45,0.07,6.21,,0.95,,3.27,,0.52,-1.35,,,,,,,,,,,6.21,,0.95,,3.27,,0.52,7.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.208333333333,2.60416666666666,305.810397553516,6.11620795107033,,,,,0.80859375,,0.123697916666666,,,0.0677083333333333,0.80859375,,0.123697916666666,,,0.0677083333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
