Project_Type,Building_Use_Type,Building_Use_Subtype,Continent,Country,City,Gross_Floor_Area,Total_Users,Floors_Above_Ground,Floors_Below_Ground,Structure_Type,Roof_Type,Mass_Wood,Mass_Straw_Hemp,Mass_Fungi,Mass_Brass_Copper,Mass_Earth,Mass_Bamboo,Mass_Glass,Mass_Stone,Mass_Stone_Wool,Mass_Ceramics,Mass_Metals,Mass_Plastics,Mass_Steel_Reinforcement,Mass_EPS_XPS,Mass_Aluminium,Mass_Concrete_Without_Reinforcement,Mass_Other,Mass_Concrete_With_Reinforcement,Mass_Cement_Mortar,Total_Carbon
missing,Residential,Multi-family house,Europe,Denmark,missing,12520.0,306.0077597404471,6.0,1.0,massive concrete,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909986.0,0.0,0.0,996534.0,0.0,0.0,20610178.0,264461.0,0.0,751627.0,91270.79999999999
missing,Non-residential,Office,Europe,Denmark,missing,5083.0,240.45546266468912,5.0,1.0,massive concrete,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277011.0,0.0,394796.0,0.0,0.0,8168760.0,57380.0,0.0,152880.0,36851.75
missing,Non-residential,Office,Europe,Denmark,missing,25067.0,349.91740288937365,6.0,1.0,massive concrete,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,405893.0,0.0,0.0,0.0,0.0,0.0,2826401.0,0.0,0.0,48428837.0,641135.0,0.0,1500095.0,220088.26000000004
missing,Residential,Multi-family house,Europe,Denmark,missing,3700.0,275.1411738973345,6.0,1.0,massive concrete,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333202.0,0.0,0.0,308763.0,0.0,0.0,6219247.0,74596.0,0.0,189761.0,27676.0
missing,Residential,Multi-family house,Europe,Denmark,missing,4246.0,316.5776384283206,7.0,1.0,massive concrete,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383868.0,0.0,0.0,141238.0,0.0,0.0,4652174.0,64903.0,0.0,515966.0,25985.519999999997
missing,Residential,Multi-family house,Europe,Denmark,missing,2851.0,99.71493415325321,3.5302277481471576,0.27950403173975236,massive concrete,missing,112858.58756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751478.76,270433.09143,0.0,0.0,10875.521130542214
missing,Non-residential,Office,Europe,Denmark,missing,12856.0,450.5761613789416,7.0,2.0,massive concrete,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377410.0,0.0,0.0,21059338.0,137568.0,0.0,145000.0,240792.88
missing,Non-residential,Hospital and Health,Europe,Denmark,missing,7867.0,210.67270911528638,4.0,1.0,massive concrete,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421265.0,0.0,0.0,120436.0,0.0,0.0,7633067.0,210437.0,0.0,1207488.0,47280.67
missing,Non-residential,Office,Europe,Denmark,missing,6552.0,154.79005267196888,4.452576052636649,0.3340605210920555,massive concrete,missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1272950.4,217534.02,2321251.68,324976.5,27147.897064424054
missing,Non-residential,School and Daycare,Europe,Denmark,missing,850.0,-36.327958124540324,1.0,0.0,massive concrete,missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57763.0,0.0,0.0,0.0,9678.0,0.0,0.0,247181.0,19236.0,0.0,0.0,16357.2814403
missing,Non-residential,Office,Europe,Denmark,missing,4084.0,118.06338622933441,3.837511038997075,0.297679700848477,massive concrete,missing,66125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48989.48,0.0,0.0,863835.8,36236.5,0.0,131928.0,98134.40926247316
missing,Non-residential,Hotel & Resort,Europe,Austria,missing,9419.0,275.0,5.0,1.0,massive concrete,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628154.4,0.0,493126.7,0.0,0.0,485072.0,0.0,0.0,8161650.0,0.0,0.0,371782.0,244705.62
missing,Non-residential,Office,Europe,United Kingdom,missing,19414.71,671.1574869684957,12.0,2.0,frame steel,Flat roof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2364562.0,0.0,1493057.0,0.0,0.0,0.0,0.0,37041927.0,0.0,731287.4099999978
missing,Residential,Multi-family house,Europe,Finland,missing,3537.0,109.92339978520104,3.7011899034780926,0.28961636670210844,frame concrete,Other,0.0,0.0,0.0,0.0,439213.56,0.0,0.0,0.0,0.0,232475.994,0.0,0.0,115863.89,0.0,0.0,2986702.36759999,0.0,1792168.07,0.0,36011.7302396277
missing,Residential,Multi-family house,Europe,Finland,missing,2500.0,94.4916521753907,3.4427529427227292,0.274329936154057,frame concrete,Other,0.0,0.0,0.0,0.0,432012.0,0.0,0.0,0.0,0.0,122659.374,0.0,0.0,146419.82,0.0,0.0,3672485.6364,0.0,0.0,104122.18,32424.099999999995
missing,Residential,Multi-family house,Europe,Finland,missing,2794.0,98.86670887479693,3.5160224378645584,0.2786637939950668,frame concrete,Other,0.0,0.0,0.0,0.0,3177200.0,0.0,0.0,0.0,0.0,198920.0,0.0,0.0,0.0,0.0,0.0,2327472.0,0.0,1313781.0,309051.6,39797.83538823584
missing,Residential,Multi-family house,Europe,Finland,missing,6060.0,147.4685292158197,4.329961795460527,0.3268079426642433,frame concrete,Other,0.0,0.0,0.0,0.0,538721.156069364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140444.489402697,0.0,0.0,5664827.28323699,0.0,2900287.00385356,666134.699421965,81103.33116198955
missing,Residential,Multi-family house,Europe,Finland,missing,2280.0,91.21780022345408,3.387925429351292,0.27108691327983203,frame concrete,Other,0.0,0.0,0.0,0.0,1891200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47467.0,0.0,0.0,2867712.0,0.0,123172.0,60886.4,30412.1676
missing,Residential,Multi-family house,Europe,Finland,missing,6066.0,147.55781608723612,4.331457091279747,0.32689638874263127,missing,Other,0.0,0.0,0.0,0.0,3877400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3367084.0,0.0,3743727.28641509,0.0,70392.92045132749
missing,Residential,Multi-family house,Europe,Finland,missing,11032.0,221.45758332958727,5.569063597654999,0.4001002596217282,missing,Other,0.0,0.0,0.0,0.0,2361790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8721126.39999999,0.0,4861902.174975,0.0,129515.68000000002
missing,Residential,Multi-family house,Europe,Finland,missing,2678.0,97.14049602741215,3.487113385359619,0.27695383647956634,missing,Other,0.0,0.0,0.0,0.0,4451077.38352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140808.6117647,0.0,2352279.26274509,0.0,24382.9222
missing,Residential,Multi-family house,Europe,Finland,missing,4646.0,126.42658985200885,3.9775704140641093,0.30596415019081535,frame concrete,Other,0.0,0.0,0.0,0.0,495328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4309728.0,161269.806123295,2497607.0,408149.4,52964.4
missing,Residential,Multi-family house,Europe,Finland,missing,1886.0,85.3546290004403,3.289734337222446,0.26527895413235636,frame concrete,Other,0.0,0.0,0.0,0.0,302400.0,0.0,0.0,0.0,0.0,74958.3159999999,0.0,0.0,106000.23,0.0,0.0,2714212.7688,0.0,0.0,95546.733,23348.68
missing,Non-residential,Retail and Restaurant,Europe,Finland,missing,135513.0,2073.877423461509,36.59171674306335,2.2350763069235526,missing,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7082503.8,0.0,0.0,199627369.912,1693751.0,22777854.5945945,0.0,1296859.4100000001
missing,Non-residential,Retail and Restaurant,Europe,Finland,missing,9110.0,192.85602218585015,5.090070503564538,0.37176803251145346,missing,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3603800.0,0.0,8907312.23076923,0.0,105047.40999999999
missing,Non-residential,Retail and Restaurant,Europe,Finland,missing,2573.0,95.57797577762423,3.4609457085232513,0.2754060301077771,frame concrete,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110016.3857,0.0,0.0,3105278.61056,0.0,568066.2607,365825.3692,48398.13
missing,Non-residential,Retail and Restaurant,Europe,Finland,missing,42246.0,685.9576507284496,13.348090881182415,0.8602262414219962,missing,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,888872.0,0.0,0.0,23604531.0,0.0,16917017.6,1236127.2,626339.196
missing,Non-residential,Retail and Restaurant,Europe,Finland,missing,2493.0,94.3874841587382,3.441008430933638,0.2742267490626044,missing,Other,0.0,0.0,0.0,0.0,7042167.048,0.0,0.0,283419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2043209.252,0.0,189100.0,0.0,72727.020063
missing,Non-residential,Retail and Restaurant,Europe,Finland,missing,884.8,70.45562639008148,3.0402193081884343,0.2505202518520197,frame steel,Other,0.0,0.0,0.0,0.0,1531508.36363636,0.0,0.0,66824.0559440559,0.0,0.0,77958.3564568764,0.0,0.0,0.0,0.0,785313.83048951,0.0,0.0,0.0,15693.961270400001
missing,Non-residential,Retail and Restaurant,Europe,Finland,missing,1941.6,86.18202067556612,3.303590745147228,0.2660985544587514,other,Other,0.0,0.0,0.0,0.0,3339535.68403361,0.0,0.0,90308.8739495798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1740399.6605042,0.0,83231.8235294117,0.0,38053.356268799966
missing,Non-residential,Retail and Restaurant,Europe,Finland,missing,488.1,64.55227607493032,2.941355332940939,0.24467249196926943,frame concrete,Other,0.0,0.0,0.0,0.0,2115700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249043.2,0.0,16560.0,27388.78,28430.144959800004
missing,Non-residential,Retail and Restaurant,Europe,Finland,missing,8168.0,178.83798337346693,4.855309059946839,0.3578819982045446,missing,Other,0.0,0.0,0.0,0.0,2522549.33853658,0.0,0.0,0.0,0.0,0.0,201976.710243902,0.0,0.0,0.0,0.0,3394533.14341463,251107.827902439,4153782.82610415,0.0,178291.104
missing,Non-residential,Retail and Restaurant,Europe,Finland,missing,5483.6,138.89103710174572,4.186313710427362,0.31831122273377377,missing,Other,0.0,0.0,0.0,0.0,2879849.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0006017944416,0.0,0.0,5428074.0,0.0,1026250.0,0.0,107312.79077200002
missing,Non-residential,School and Daycare,Europe,Finland,missing,1488.0,79.43193319648225,3.1905463812141193,0.259412030932622,frame wood,Other,187935.903999999,0.0,0.0,0.0,1485327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749070.0,0.0,243685.419999999,60086.418,17327.76
missing,Non-residential,School and Daycare,Europe,Finland,missing,14333.0,270.58024375387265,6.391725514196423,0.4487603437481676,frame concrete,Other,0.0,0.0,0.0,0.0,15125122.9999999,0.0,0.0,0.0,0.0,970856.4990168,0.0,0.0,0.0,0.0,0.0,10829038.0799999,0.0,9174480.0,0.0,217142.0834
missing,Non-residential,School and Daycare,Europe,Finland,missing,10503.0,213.58545749970338,5.437228349593681,0.39230226371052346,missing,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569504.0,0.0,0.0,203206.0,0.0,0.0,7267737.46048,0.0,8057126.55999999,421454.06,160464.8339999999
missing,Non-residential,School and Daycare,Europe,Finland,missing,2300.0,91.51542312817563,3.392909748748696,0.27138173354112516,missing,Other,0.0,0.0,0.0,0.0,896092.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1528236.0,71032.17,539774.31081081,0.0,24886.0
