Building Type,Building Use,Building Location Region,Building New or Renovation,Average Building Area in Square Meters,Average Building Storeys,Embodied Carbon Whole Building Excluding Operational
Commercial,Mixed use,Middle East,New,69677.5,25.0,2567.39
Commercial,Other,North America,New,69677.5,10.5,1699.34
Commercial,Office,Europe,New,69677.5,25.0,1303.39
Commercial,Other,North America,New,1626.5,3.5,1211.33
Commercial,Office,Asia-Pacific,New,92903.0,20.0,1087.86
Commercial,Office,Asia-Pacific,New,69677.5,3.5,992.27
Commercial,Other,North America,New,32516.0,3.5,1185.57
Commercial,Other,North America,New,32516.0,3.5,1140.08
Commercial,Other,North America,New,69677.5,3.5,856.41
Commercial,Office,North America,New,92903.0,25.0,840.69
Commercial,Office,Asia-Pacific,New,92903.0,25.0,968.37
Commercial,Other,Asia-Pacific,New,69677.5,3.5,906.85
Commercial,Other,North America,New,92903.0,20.0,830.01
Residential,Multi-family,Asia-Pacific,New,32516.0,25.0,913.19
Commercial,Other,North America,New,69677.5,3.5,944.42
Commercial,Office,Asia-Pacific,New,92903.0,3.5,920.16
Commercial,Mixed use,Asia-Pacific,New,13935.5,3.5,918.44
Commercial,Office,North America,New,69677.5,10.5,936.09
Commercial,Other,Asia-Pacific,New,32516.0,3.5,764.22
Commercial,Lodging,Middle East,New,92903.0,25.0,888.08
Commercial,Other,Asia-Pacific,New,6968.0,3.5,834.06
Residential,Multi-family,Asia-Pacific,New,32516.0,25.0,844.54
Residential,Multi-family,Asia-Pacific,New,32516.0,20.0,837.65
Commercial,Office,Asia-Pacific,New,6968.0,10.5,794.88
Commercial,Mixed use,Europe,New,92903.0,25.0,726.44
Commercial,Office,Asia-Pacific,New,32516.0,20.0,708.31
Commercial,Mixed use,Asia-Pacific,New,92903.0,25.0,747.62
Commercial,Office,Asia-Pacific,New,92903.0,25.0,803.17
Commercial,Office,Asia-Pacific,New,13935.5,10.5,779.14
Commercial,Office,Asia-Pacific,New,92903.0,25.0,781.31
Commercial,Office,Middle East,New,92903.0,25.0,749.32
Commercial,Office,Asia-Pacific,New,92903.0,25.0,712.96
Commercial,Office,Asia-Pacific,New,69677.5,25.0,769.74
Commercial,Other,Asia-Pacific,New,13935.5,3.5,635.78
Residential,Multi-family,North America,New,69677.5,25.0,728.34
Commercial,Other,Asia-Pacific,New,6968.0,3.5,670.62
Commercial,Office,North America,New,32516.0,3.5,686.86
Commercial,Office,Europe,New,13935.5,10.5,713.19
Commercial,Office,North America,New,92903.0,20.0,710.71
Commercial,Other,Asia-Pacific,New,69677.5,3.5,707.13
Commercial,Other,Asia-Pacific,New,69677.5,10.5,695.77
Commercial,Office,North America,New,32516.0,25.0,665.67
Residential,Multi-family,North America,New,69677.5,25.0,692.97
Commercial,Lodging,Asia-Pacific,New,6968.0,25.0,641.71
Commercial,Office,Asia-Pacific,New,69677.5,25.0,667.47
Commercial,Lodging,Asia-Pacific,New,69677.5,25.0,690.45
Commercial,Office,Asia-Pacific,New,13935.5,20.0,601.09
Commercial,Office,Asia-Pacific,New,69677.5,25.0,662.42
Commercial,Other,Middle East,New,92903.0,3.5,684.39
Commercial,Office,Asia-Pacific,New,69677.5,25.0,656.95
Commercial,Office,North America,New,697.5,3.5,636.14
Commercial,Office,Europe,New,69677.5,25.0,649.63
Commercial,Office,Asia-Pacific,New,69677.5,25.0,666.56
Residential,Multi-family,Asia-Pacific,New,32516.0,20.0,615.94
Commercial,Other,North America,New,69677.5,10.5,634.04
Commercial,Mixed use,Europe,New,69677.5,25.0,653.81
Commercial,Office,Asia-Pacific,New,69677.5,20.0,651.81
Commercial,Other,Asia-Pacific,New,69677.5,3.5,601.58
Commercial,Other,Asia-Pacific,New,32516.0,3.5,639.32
Commercial,Office,Asia-Pacific,New,32516.0,10.5,570.98
Commercial,Office,Asia-Pacific,New,92903.0,10.5,560.63
Commercial,Office,Asia-Pacific,New,69677.5,25.0,637.23
Commercial,Office,Asia-Pacific,New,92903.0,25.0,634.29
Commercial,Office,Asia-Pacific,New,92903.0,20.0,606.78
Commercial,Office,Asia-Pacific,New,92903.0,25.0,587.14
Commercial,Office,Asia-Pacific,New,32516.0,25.0,595.56
Residential,Multi-family,Asia-Pacific,New,69677.5,25.0,599.12
Commercial,Other,North America,New,13935.5,3.5,611.95
Commercial,Office,Asia-Pacific,New,92903.0,25.0,570.73
Residential,Multi-family,Asia-Pacific,New,69677.5,10.5,592.36
Commercial,Other,Asia-Pacific,New,92903.0,10.5,569.02
Commercial,Office,Asia-Pacific,New,92903.0,10.5,573.27
Residential,Multi-family,North America,New,69677.5,25.0,584.9
Commercial,Mixed use,North America,New,69677.5,25.0,576.23
Commercial,Mixed use,Asia-Pacific,New,6968.0,3.5,606.36
Commercial,Office,Asia-Pacific,New,1626.5,10.5,590.23
Residential,Multi-family,North America,New,92903.0,25.0,552.83
Commercial,Office,Asia-Pacific,New,92903.0,25.0,572.91
Commercial,Office,Asia-Pacific,New,32516.0,25.0,591.39
Commercial,Office,North America,New,69677.5,20.0,563.33
Commercial,Office,Asia-Pacific,New,69677.5,25.0,520.71
Commercial,Office,Asia-Pacific,New,69677.5,20.0,546.87
