Building Project Type,Primary Foundation Type,Primary Ground_Floor Type,Primary Vertical Element Type,Primary Horizontal Element Type,Primary Slab Type,Primary Cladding Type,Primary Heating Type,Primary Cooling Type,Primary Finishes Type,Primary Ventilation Type,Total Embodied Carbon PER m2
2,0,2,1,0,1,3,1,3,2,0,90.86666666666667
2,0,2,1,0,1,3,1,3,2,0,90.86666666666667
2,0,2,1,0,1,3,1,3,2,0,90.86666666666667
2,0,2,1,0,1,3,1,3,2,0,90.86666666666667
2,0,2,1,0,1,3,1,3,2,0,90.86666666666667
2,0,2,1,0,1,3,1,3,2,0,90.86666666666667
2,0,2,1,0,1,3,1,3,2,0,90.86666666666667
2,0,2,1,0,1,3,1,3,2,0,90.86666666666667
2,0,2,1,0,1,3,1,3,2,0,90.86666666666667
2,0,2,1,0,1,3,1,3,2,0,90.86666666666667
2,0,2,1,0,1,3,1,3,2,0,90.86666666666667
2,0,2,1,0,1,3,1,3,2,0,90.86666666666667
2,0,2,1,0,1,3,1,3,2,0,90.86666666666667
2,1,1,0,0,2,4,1,1,2,0,1.1
2,1,1,0,0,2,4,1,1,2,0,1.1
2,1,1,0,0,2,4,1,1,2,0,1.1
2,1,1,0,0,2,4,1,1,2,0,1.1
2,1,1,0,0,2,4,1,1,2,0,1.1
2,1,1,0,0,2,4,1,1,2,0,1.1
2,1,1,0,0,2,4,1,1,2,0,1.1
2,1,1,0,0,2,4,1,1,2,0,1.1
2,1,1,0,0,2,4,1,1,2,0,1.1
2,1,1,0,0,2,4,1,1,2,0,1.1
2,1,1,0,0,2,4,1,1,2,0,1.1
2,1,1,0,0,2,4,1,1,2,0,1.1
2,1,1,0,0,2,4,1,1,2,0,1.1
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
3,0,1,1,2,1,1,0,0,2,1,0.9166666666666663
3,0,1,1,2,1,1,0,0,2,1,0.9166666666666663
3,0,1,1,2,1,1,0,0,2,1,0.9166666666666663
3,0,1,1,2,1,1,0,0,2,1,0.9166666666666663
3,0,1,1,2,1,1,0,0,2,1,0.9166666666666663
3,0,1,1,2,1,1,0,0,2,1,0.9166666666666663
3,0,1,1,2,1,1,0,0,2,1,0.9166666666666663
3,0,1,1,2,1,1,0,0,2,1,0.9166666666666663
3,0,1,1,2,1,1,0,0,2,1,0.9166666666666663
3,0,1,1,2,1,1,0,0,2,1,0.9166666666666663
3,0,1,1,2,1,1,0,0,2,1,0.9166666666666663
3,0,1,1,2,1,1,0,0,2,1,0.9166666666666663
3,0,1,1,2,1,1,0,0,2,1,0.9166666666666663
2,2,2,1,1,0,2,2,2,1,3,45.741142857142854
2,2,2,1,1,0,2,2,2,1,3,45.741142857142854
2,2,2,1,1,0,2,2,2,1,3,45.741142857142854
2,2,2,1,1,0,2,2,2,1,3,45.741142857142854
2,2,2,1,1,0,2,2,2,1,3,45.741142857142854
2,2,2,1,1,0,2,2,2,1,3,45.741142857142854
2,2,2,1,1,0,2,2,2,1,3,45.741142857142854
2,2,2,1,1,0,2,2,2,1,3,45.741142857142854
2,2,2,1,1,0,2,2,2,1,3,45.741142857142854
2,2,2,1,1,0,2,2,2,1,3,45.741142857142854
2,2,2,1,1,0,2,2,2,1,3,45.741142857142854
2,2,2,1,1,0,2,2,2,1,3,45.741142857142854
