Material,Building Element,Assumption
JJI Engineered Joists,Joisted floors Material,OSB topper
Precast RC,Beams Material,32/40 (250kg/m3 reinforcement)
Precast RC,Columns Material,32/40 (300kg/m3 reinforcement)
Precast RC,Core structure Material,32/40 (100kg/m3 reinforcement)
Precast RC,Floor slab Material,32/40 (100kg/m3 reinforcement)
Precast RC,Roof Material,32/40 (100kg/m3 reinforcement)
Precast RC,Secondary beams Material,32/40 (250kg/m3 reinforcement)
RC,Basement walls Material,32/40 (125kg/m3 reinforcement)
RC,Beams Material,Precast  32/40 (250kg/m3 reinforcement)
RC,Beams Material,32/40 (250kg/m3 reinforcement)
RC,Capping beams Material,32/40 (200kg/m3 reinforcement)
RC,Columns Material,32/40 (300kg/m3 reinforcement)
RC,Columns Material,Precast  32/40 (300kg/m3 reinforcement)
RC,Core structure Material,Precast  32/40 (100kg/m3 reinforcement)
RC,Core structure Material,32/40 (100kg/m3 reinforcement)
RC,Floor slab Material,Precast  32/40 (100kg/m3 reinforcement)
RC,Floor slab Material,32/40 (100kg/m3 reinforcement)
RC,Lowest floor slab Material,32/40 (150kg/m3 reinforcement)
RC,Pile caps Material,32/40 (200kg/m3 reinforcement)
RC,Piles Material,32/40 (50kg/m3 reinforcement)
RC,Raft Material,32/40 (150kg/m3 reinforcement)
RC,Roof Material,Precast  32/40 (100kg/m3 reinforcement)
RC,Roof Material,32/40 (100kg/m3 reinforcement)
RC,Secondary beams Material,32/40 (250kg/m3 reinforcement)
RC,Secondary beams Material,Precast  32/40 (250kg/m3 reinforcement)
Steel tile with,Ceilings Material,18mm acoustic pad
Timber Joists,Joisted floors Material,OSB topper (Domestic)
Timber Joists,Joisted floors Material,OSB topper (Office)
screed,Floors Material,70mm
