Building Project Type,Primary Foundation Type,Primary Ground_Floor Type,Primary Vertical Element Type,Primary Horizontal Element Type,Primary Slab Type,Primary Cladding Type,Primary Heating Type,Primary Cooling Type,Primary Finishes Type,Primary Ventilation Type,Total Embodied Carbon PER m2
New built,Corbels,Suspended,Steel,Other,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,Corbels,Suspended,Steel,Other,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,Corbels,Suspended,Steel,Other,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,Corbels,Suspended,Steel,Other,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,Corbels,Suspended,Steel,Other,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,Corbels,Suspended,Steel,Other,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,Corbels,Suspended,Steel,Other,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,Corbels,Suspended,Steel,Other,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,Corbels,Suspended,Steel,Other,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,Corbels,Suspended,Steel,Other,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,Corbels,Suspended,Steel,Other,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,Corbels,Suspended,Steel,Other,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,Corbels,Suspended,Steel,Other,Hybrid,Stone,Boiler - Air distribution,Variable Refrigerant Flow (VRF) - Refrigerant distribution,Shell and core,Full mechanical,90.86666666666667
New built,Other,Other,Other,Other,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,Other,Other,Other,Other,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,Other,Other,Other,Other,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,Other,Other,Other,Other,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,Other,Other,Other,Other,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,Other,Other,Other,Other,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,Other,Other,Other,Other,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,Other,Other,Other,Other,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,Other,Other,Other,Other,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,Other,Other,Other,Other,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,Other,Other,Other,Other,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,Other,Other,Other,Other,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,Other,Other,Other,Other,Other,Stone & SFS,Boiler - Air distribution,Chiller - Water distribution,Shell and core,Full mechanical,1.1
New built,Corbels,Ground bearing RC,Other,Timber,Steel,Stone & SFS,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Water distribution,Fully finished - Cat A,Full mechanical,0.7438200000000001
New built,Corbels,Ground bearing RC,Other,Timber,Steel,Stone & SFS,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Water distribution,Fully finished - Cat A,Full mechanical,0.7438200000000001
New built,Corbels,Ground bearing RC,Other,Timber,Steel,Stone & SFS,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Water distribution,Fully finished - Cat A,Full mechanical,0.7438200000000001
New built,Corbels,Ground bearing RC,Other,Timber,Steel,Stone & SFS,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Water distribution,Fully finished - Cat A,Full mechanical,0.7438200000000001
New built,Corbels,Ground bearing RC,Other,Timber,Steel,Stone & SFS,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Water distribution,Fully finished - Cat A,Full mechanical,0.7438200000000001
New built,Corbels,Ground bearing RC,Other,Timber,Steel,Stone & SFS,Air Source Heat Pump (ASHP) - Water distribution,Chiller - Water distribution,Fully finished - Cat A,Full mechanical,0.7438200000000001
