Building Use Type,Building Use Subtype,Continent,Building Project Type,Floors Above Ground,Total Embodied Carbon PER m2
Non-residential,Other,North America,New,3.5,938.69
Non-residential,Office,Asia-Pacific,New,20.0,937.59
Non-residential,Office,Asia-Pacific,New,3.5,923.3
Non-residential,Other,North America,New,3.5,917.93
Non-residential,Other,North America,New,3.5,882.65
Non-residential,Other,North America,New,3.5,844.49
Non-residential,Office,North America,New,25.0,772.05
Non-residential,Office,Asia-Pacific,New,25.0,748.03
Non-residential,Other,Asia-Pacific,New,3.5,740.7
Non-residential,Other,North America,New,20.0,733.88
Residential,Multi-family,Asia-Pacific,New,25.0,731.63
Non-residential,Other,North America,New,3.5,730.52
Non-residential,Office,Asia-Pacific,New,3.5,724.64
Non-residential,Mixed use,Asia-Pacific,New,3.5,722.29
Non-residential,Office,North America,New,10.5,717.52
Non-residential,Other,Asia-Pacific,New,3.5,704.78
Non-residential,Lodging,Middle East,New,25.0,687.05
Non-residential,Other,Asia-Pacific,New,3.5,685.14
Residential,Multi-family,Asia-Pacific,New,25.0,682.25
Residential,Multi-family,Asia-Pacific,New,20.0,674.22
Non-residential,Office,Asia-Pacific,New,10.5,673.25
Non-residential,Mixed use,Europe,New,25.0,645.19
Non-residential,Office,Asia-Pacific,New,20.0,643.89
Non-residential,Mixed use,Asia-Pacific,New,25.0,636.62
Non-residential,Office,Asia-Pacific,New,25.0,620.59
Non-residential,Office,Asia-Pacific,New,10.5,619.74
Non-residential,Office,Asia-Pacific,New,25.0,603.72
Non-residential,Office,Middle East,New,25.0,595.91
Non-residential,Office,Asia-Pacific,New,25.0,590.35
Non-residential,Office,Asia-Pacific,New,25.0,583.2
Non-residential,Other,Asia-Pacific,New,3.5,582.83
Residential,Multi-family,North America,New,25.0,581.32
Non-residential,Other,Asia-Pacific,New,3.5,579.16
Non-residential,Office,North America,New,3.5,578.9
Non-residential,Office,Europe,New,10.5,575.17
Non-residential,Office,North America,New,20.0,574.36
Non-residential,Other,Asia-Pacific,New,3.5,572.07
Non-residential,Other,Asia-Pacific,New,10.5,563.73
Non-residential,Office,North America,New,25.0,561.49
Residential,Multi-family,North America,New,25.0,553.79
Non-residential,Lodging,Asia-Pacific,New,25.0,542.2
Non-residential,Office,Asia-Pacific,New,25.0,533.9
Non-residential,Lodging,Asia-Pacific,New,25.0,533.58
Non-residential,Office,Asia-Pacific,New,20.0,529.3
Non-residential,Office,Asia-Pacific,New,25.0,525.5
Non-residential,Other,Middle East,New,3.5,522.68
Non-residential,Office,Asia-Pacific,New,25.0,521.6
Non-residential,Office,North America,New,3.5,517.89
Non-residential,Office,Europe,New,25.0,517.12
Non-residential,Office,Asia-Pacific,New,25.0,514.75
Residential,Multi-family,Asia-Pacific,New,20.0,511.46
Non-residential,Other,North America,New,10.5,511.39
Non-residential,Mixed use,Europe,New,25.0,505.26
Non-residential,Office,Asia-Pacific,New,20.0,503.81
Non-residential,Other,Asia-Pacific,New,3.5,501.89
Non-residential,Other,Asia-Pacific,New,3.5,493.88
Non-residential,Office,Asia-Pacific,New,10.5,492.23
Non-residential,Office,Asia-Pacific,New,10.5,491.75
Non-residential,Office,Asia-Pacific,New,25.0,491.74
Non-residential,Office,Asia-Pacific,New,25.0,490.19
Non-residential,Office,Asia-Pacific,New,20.0,490.11
Non-residential,Office,Asia-Pacific,New,25.0,485.95
Non-residential,Office,Asia-Pacific,New,25.0,485.79
Residential,Multi-family,Asia-Pacific,New,25.0,478.97
Non-residential,Other,North America,New,3.5,473.77
Non-residential,Office,Asia-Pacific,New,25.0,473.32
Residential,Multi-family,Asia-Pacific,New,10.5,473.26
Non-residential,Other,Asia-Pacific,New,10.5,472.28
Non-residential,Office,Asia-Pacific,New,10.5,471.3
Residential,Multi-family,North America,New,25.0,470.11
Non-residential,Mixed use,North America,New,25.0,469.77
Non-residential,Mixed use,Asia-Pacific,New,3.5,467.69
Non-residential,Office,Asia-Pacific,New,10.5,466.84
Residential,Multi-family,North America,New,25.0,465.66
Non-residential,Office,Asia-Pacific,New,25.0,465.02
Non-residential,Office,Asia-Pacific,New,25.0,464.89
Non-residential,Office,North America,New,20.0,464.32
Non-residential,Office,Asia-Pacific,New,25.0,462.89
Non-residential,Office,Asia-Pacific,New,20.0,457.53
Non-residential,Mixed use,Middle East,New,25.0,455.78
Non-residential,Other,North America,New,10.5,451.28
Non-residential,Office,Europe,New,10.5,446.21
Residential,Multi-family,Asia-Pacific,New,10.5,440.55
Non-residential,Lodging,Asia-Pacific,New,25.0,439.96
Non-residential,Office,Asia-Pacific,New,25.0,439.41
Residential,Multi-family,Asia-Pacific,New,10.5,436.33
Non-residential,Parking,North America,New,3.5,436.12
Non-residential,Other,Asia-Pacific,New,10.5,435.64
Non-residential,Other,North America,New,3.5,434.15
Residential,Multi-family,North America,New,20.0,432.01
Non-residential,Office,Asia-Pacific,New,25.0,430.91
Non-residential,Office,Asia-Pacific,New,20.0,425.53
Non-residential,Office,Asia-Pacific,New,25.0,423.37
Non-residential,Office,Asia-Pacific,New,25.0,422.82
Non-residential,Office,North America,New,20.0,418.31
Residential,Multi-family,Asia-Pacific,New,3.5,416.98
Non-residential,Office,North America,New,25.0,416.63
Non-residential,Mixed use,Europe,New,10.5,415.61
Non-residential,Office,North America,New,3.5,415.26
Residential,Multi-family,Asia-Pacific,New,3.5,413.97
Residential,Multi-family,Asia-Pacific,New,10.5,404.68
Residential,Multi-family,Asia-Pacific,New,25.0,403.27
Residential,Multi-family,Asia-Pacific,New,10.5,401.06
Non-residential,Office,Asia-Pacific,New,25.0,398.34
Residential,Multi-family,North America,New,25.0,395.21
Non-residential,Office,Asia-Pacific,New,20.0,391.98
Non-residential,Other,Asia-Pacific,New,25.0,387.9
Non-residential,Lodging,Asia-Pacific,New,25.0,386.92
Residential,Multi-family,North America,New,20.0,382.12
