Building_Project_Type,Primary_Foundation_Type,Primary_Ground_Floor_Type,Primary_Vertical_Element_Type,Primary_Horizontal_Element_Type,Primary_Slab_Type,Primary_Cladding_Type,Primary_Heating_Type,Primary_Cooling_Type,Primary_Finishes_Type,Primary_Ventilation_Type,Total_Embodied_Carbon_PER_m2
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,0,2,1,3,1,3,1,3,1,0,90.86666666666667
2,4,4,3,0,2,4,1,1,1,0,1.1
2,4,4,3,0,2,4,1,1,1,0,1.1
2,4,4,3,0,2,4,1,1,1,0,1.1
2,4,4,3,0,2,4,1,1,1,0,1.1
2,4,4,3,0,2,4,1,1,1,0,1.1
2,4,4,3,0,2,4,1,1,1,0,1.1
2,4,4,3,0,2,4,1,1,1,0,1.1
2,4,4,3,0,2,4,1,1,1,0,1.1
2,4,4,3,0,2,4,1,1,1,0,1.1
2,4,4,3,0,2,4,1,1,1,0,1.1
2,4,4,3,0,2,4,1,1,1,0,1.1
2,4,4,3,0,2,4,1,1,1,0,1.1
2,4,4,3,0,2,4,1,1,1,0,1.1
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
2,0,0,0,2,3,4,0,1,0,0,0.7438200000000001
