Building_Use_Type,Building_Use_Subtype,Continent,Building_Project_Type,Gross_Floor_Area_m2,Floors_Above_Ground,Total_Embodied_Carbon_PER_m2
0,9,4,0,1626.5,3.5,938.69
0,8,1,0,92903.0,20.0,937.59
0,8,1,0,69677.5,3.5,923.3
0,9,4,0,32516.0,3.5,917.93
0,9,4,0,32516.0,3.5,882.65
0,9,4,0,69677.5,3.5,844.49
0,8,4,0,92903.0,25.0,772.05
0,8,1,0,92903.0,25.0,748.03
0,9,1,0,69677.5,3.5,740.7
0,9,4,0,92903.0,20.0,733.88
1,7,1,0,32516.0,25.0,731.63
0,9,4,0,69677.5,3.5,730.52
0,8,1,0,92903.0,3.5,724.64
0,6,1,0,13935.5,3.5,722.29
0,8,4,0,69677.5,10.5,717.52
0,9,1,0,32516.0,3.5,704.78
0,3,3,0,92903.0,25.0,687.05
0,9,1,0,6968.0,3.5,685.14
1,7,1,0,32516.0,25.0,682.25
1,7,1,0,32516.0,20.0,674.22
0,8,1,0,6968.0,10.5,673.25
0,6,2,0,92903.0,25.0,645.19
0,8,1,0,32516.0,20.0,643.89
0,6,1,0,92903.0,25.0,636.62
0,8,1,0,92903.0,25.0,620.59
0,8,1,0,13935.5,10.5,619.74
0,8,1,0,92903.0,25.0,603.72
0,8,3,0,92903.0,25.0,595.91
0,8,1,0,92903.0,25.0,590.35
0,8,1,0,69677.5,25.0,583.2
0,9,1,0,13935.5,3.5,582.83
1,7,4,0,69677.5,25.0,581.32
0,9,1,0,6968.0,3.5,579.16
0,8,4,0,32516.0,3.5,578.9
0,8,2,0,13935.5,10.5,575.17
0,8,4,0,92903.0,20.0,574.36
0,9,1,0,69677.5,3.5,572.07
0,9,1,0,69677.5,10.5,563.73
0,8,4,0,32516.0,25.0,561.49
1,7,4,0,69677.5,25.0,553.79
0,3,1,0,6968.0,25.0,542.2
0,8,1,0,69677.5,25.0,533.9
0,3,1,0,69677.5,25.0,533.58
0,8,1,0,13935.5,20.0,529.3
0,8,1,0,69677.5,25.0,525.5
0,9,3,0,92903.0,3.5,522.68
0,8,1,0,69677.5,25.0,521.6
0,8,4,0,697.5,3.5,517.89
0,8,2,0,69677.5,25.0,517.12
0,8,1,0,69677.5,25.0,514.75
1,7,1,0,32516.0,20.0,511.46
0,9,4,0,69677.5,10.5,511.39
0,6,2,0,69677.5,25.0,505.26
0,8,1,0,69677.5,20.0,503.81
0,9,1,0,69677.5,3.5,501.89
0,9,1,0,32516.0,3.5,493.88
0,8,1,0,32516.0,10.5,492.23
0,8,1,0,92903.0,10.5,491.75
0,8,1,0,69677.5,25.0,491.74
0,8,1,0,92903.0,25.0,490.19
