Unique ID,Material,Sub-material,Quantity of declared unit,Units of declared unit,Weight per declared unit - kg,Density of material - kg per m3,Density range - low - kg per m3,Density Range - high - kg per m3,Carbon sequestration included?,Carbon Storage Amount (Kg CO2 per unit),Embodied Carbon (kg CO2e per declared unit),Embodied Carbon per kg (kg CO2e per kg)
52bdfeb3-979f-4fcd-b4eb-6ffbda643c52,AggregateSand,"AggregateSand, General aggregate and sand",1,kg,1,1600,1200,1750,,,0.0075,0.0075
c47ba144-190c-4ed7-84c1-423159f8af34,AggregateSand,"AggregateSand, General aggregate and sand",1,kg,1,1600,1200,1750,,,0.0049,0.0049
238416cd-fce6-47b5-9c5a-4146d4067406,AggregateSand,"AggregateSand, Land won gravel and sand",1,kg,1,1600,1200,1750,,,0.0044,0.0044
64214af1-a2d1-4b7b-acf3-137de42de2b6,AggregateSand,"AggregateSand, Marine sand and aggregate",1,kg,1,1600,1200,1750,,,0.009,0.009
2d8e1110-577f-4b24-9276-6a0b9140036a,AggregateSand,"AggregateSand, Recycled aggregate, no heat treat",1,kg,1,1600,1200,1750,,,0.0061,0.0061
0f39187d-ba00-451f-9016-2b0c271a407e,AggregateSand,"AggregateSand, Recycled aggregate, heat treat",1,kg,1,1600,1200,1750,,,0.1188,0.1188
a68a6a09-34a9-4dfa-8a42-aea458041948,AggregateSand,"AggregateSand, Expanded clay agg and sand",1,kg,1,1600,1200,1750,,,0.3932,0.3932
3cc7b47e-a0e6-44f2-ba7b-00a75117f13d,AggregateSand,"AggregateSand, Expanded foamed glass",1,kg,1,1600,1200,1750,,,0.2776,0.2776
1c959c4b-8356-4280-b3e1-5e5bc010781d,AggregateSand,"AggregateSand, General secondary ",1,kg,1,1600,1200,1750,,,0.0633,0.0633
e918d332-402f-453c-ad0b-e050f7d34d6a,AggregateSand,"AggregateSand, General secondary and recycled",1,kg,1,1600,1200,1750,,,0.0142,0.0142
baee69c9-da8e-40d6-91e3-1e21920eac57,aluminium,"Aluminium, General",1,kg,1,2750,,,,,6.668717531,6.6687
d43f6bad-166d-44e0-99db-1abcfc092b3b,aluminium,"Aluminium, sheet",1,kg,1,2750,,,,,6.581176,3.2906
859888e6-4f40-4497-a928-6ff7f61f618a,aluminium,"Aluminium, Foil",1,kg,1,2750,,,,,7.468978,2.4897
d7c5cddc-8a9f-4850-b67a-0d27faf20d6e,aluminium,Aluminium profile,1,kg,1,2750,,,,,6.825242,1.7063
d7c6a540-9c7c-4998-86f9-be4231e70272,aluminium,"Aluminium, Cast",1,kg,1,2750,,,,,6.715190088,1.343
d426cfaf-0b5e-4bd9-8521-8c517cad0d84,Aluminium,"Aluminium, General",1,kg,1,2750,,,,,13.05553999,2.1759
7c7cb7bb-2c99-45c1-9faf-b243fe91211d,Aluminium,"Aluminium, sheet",1,kg,1,2750,,,,,12.95589499,1.8508
3c7c1e9b-92f4-4eb1-aafc-6d6aadc0c0c8,Aluminium,"Aluminium, Foil",1,kg,1,2750,,,,,13.76689499,1.7209
83145d5f-0190-4e79-8268-55261527f1be,Aluminium,Aluminium profile,1,kg,1,2750,,,,,13.17639499,1.464
05d90509-833a-4812-80a6-d448a8f6fe37,Aluminium,"Aluminium, Cast",1,kg,1,2750,,,,,13.18689499,1.3187
a93ffedc-306b-4f93-896d-c82bd3509326,Aluminium,"Aluminium, General",1,kg,1,2750,,,,,5.651616031,0.5138
fd6c2a9c-5670-48ef-aebe-95dc1c4b66ee,Aluminium,"Aluminium, General",1,kg,1,2750,,,,,12.4057499,1.0338
d659fa1d-56ed-472d-8614-3112403ee65f,Aluminium,"Aluminium, General",1,kg,1,2750,,,,,14.59356866,1.1226
