Building Public ID,Building Type,Building Use,Building Location Region,Building New or Renovation,Building Area in Square Meters,Building Area in Square Feet,Building Storeys,Life Cycle Assessment Year,Life Cycle Assessment Reference Period,Life Cycle Assessment Source Code,Life Cycle Assessment Stages,Life Cycle Assessment Building Scope,Life Cycle Assessment Material Quantity,Embodied Carbon Whole Building Excluding Operational,Embodied Carbon Life Cycle Assessment Area Per Square Meter,Minimum Building Area in Square Meters,Maximum Building Area in Square Meters,Minimum Building Area in Square Feet,Maximum Building Area in Square Feet,Minimum Building Storeys,Maximum Building Storeys
A00,Commercial,Mixed use,Middle East,New,46452 to 92903,"500,001 to 1 million",More than 25,2016.0,40.0,41.0,AB,SF,Y,2567.39,2521.63,46452.0,92903.0,500001,1000000.0,25.0,1000000000.0
A00,Commercial,Other,North America,New,46452 to 92903,"500,001 to 1 million",7 to 14,2016.0,40.0,41.0,AB,SF,Y,1699.34,1332.55,46452.0,92903.0,500001,1000000.0,7.0,14.0
A00,Commercial,Office,Europe,New,46452 to 92903,"500,001 to 1 million",More than 25,2016.0,40.0,41.0,AB,SF,Y,1303.39,1031.76,46452.0,92903.0,500001,1000000.0,25.0,1000000000.0
A00,Commercial,Other,North America,New,930 to 2323,"10,001 to 25,000",1 to 6,2016.0,40.0,41.0,AB,SF,Y,1211.33,938.69,930.0,2323.0,10001,25000.0,1.0,6.0
A00,Commercial,Office,Asia-Pacific,New,Over 92903,Over 1 million,15 to 25,2016.0,40.0,41.0,AB,SF,Y,1087.86,937.59,92903.0,1000000000.0,1000000,inf,15.0,25.0
A00,Commercial,Office,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",1 to 6,2016.0,40.0,41.0,AB,SF,Y,992.27,923.3,46452.0,92903.0,500001,1000000.0,1.0,6.0
A00,Commercial,Other,North America,New,18581 to 46451,"200,001 to 500,000",1 to 6,2016.0,40.0,41.0,AB,SF,Y,1185.57,917.93,18581.0,46451.0,200001,500000.0,1.0,6.0
A00,Commercial,Other,North America,New,18581 to 46451,"200,001 to 500,000",1 to 6,2016.0,40.0,41.0,AB,SF,Y,1140.08,882.65,18581.0,46451.0,200001,500000.0,1.0,6.0
A00,Commercial,Other,North America,New,46452 to 92903,"500,001 to 1 million",1 to 6,2016.0,40.0,41.0,AB,SF,Y,856.41,844.49,46452.0,92903.0,500001,1000000.0,1.0,6.0
A00,Commercial,Office,North America,New,Over 92903,Over 1 million,More than 25,2016.0,40.0,41.0,AB,SF,Y,840.69,772.05,92903.0,1000000000.0,1000000,inf,25.0,1000000000.0
A00,Commercial,Office,Asia-Pacific,New,Over 92903,Over 1 million,More than 25,2016.0,40.0,41.0,AB,SF,Y,968.37,748.03,92903.0,1000000000.0,1000000,inf,25.0,1000000000.0
A00,Commercial,Other,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",1 to 6,2016.0,40.0,41.0,AB,SF,Y,906.85,740.7,46452.0,92903.0,500001,1000000.0,1.0,6.0
A00,Commercial,Other,North America,New,Over 92903,Over 1 million,15 to 25,2016.0,40.0,41.0,AB,SF,Y,830.01,733.88,92903.0,1000000000.0,1000000,inf,15.0,25.0
A00,Residential,Multi-family,Asia-Pacific,New,18581 to 46451,"200,001 to 500,000",More than 25,2016.0,40.0,41.0,AB,SF,Y,913.19,731.63,18581.0,46451.0,200001,500000.0,25.0,1000000000.0
A00,Commercial,Other,North America,New,46452 to 92903,"500,001 to 1 million",1 to 6,2016.0,40.0,41.0,AB,SF,Y,944.42,730.52,46452.0,92903.0,500001,1000000.0,1.0,6.0
A00,Commercial,Office,Asia-Pacific,New,Over 92903,Over 1 million,1 to 6,2016.0,40.0,41.0,AB,SF,Y,920.16,724.64,92903.0,1000000000.0,1000000,inf,1.0,6.0
A00,Commercial,Mixed use,Asia-Pacific,New,9291 to 18580,"100,001 to 200,000",1 to 6,2016.0,40.0,41.0,AB,SF,Y,918.44,722.29,9291.0,18580.0,100001,200000.0,1.0,6.0
A00,Commercial,Office,North America,New,46452 to 92903,"500,001 to 1 million",7 to 14,2016.0,40.0,41.0,AB,SF,Y,936.09,717.52,46452.0,92903.0,500001,1000000.0,7.0,14.0
A00,Commercial,Other,Asia-Pacific,New,18581 to 46451,"200,001 to 500,000",1 to 6,2016.0,40.0,41.0,AB,SF,Y,764.22,704.78,18581.0,46451.0,200001,500000.0,1.0,6.0
A00,Commercial,Lodging,Middle East,New,Over 92903,Over 1 million,More than 25,2016.0,40.0,41.0,AB,SF,Y,888.08,687.05,92903.0,1000000000.0,1000000,inf,25.0,1000000000.0
A00,Commercial,Other,Asia-Pacific,New,4646 to 9290,"50,001 to 100,000",1 to 6,2016.0,40.0,41.0,AB,SF,Y,834.06,685.14,4646.0,9290.0,500001,100000.0,1.0,6.0
A00,Residential,Multi-family,Asia-Pacific,New,18581 to 46451,"200,001 to 500,000",More than 25,2016.0,40.0,41.0,AB,SF,Y,844.54,682.25,18581.0,46451.0,200001,500000.0,25.0,1000000000.0
A00,Residential,Multi-family,Asia-Pacific,New,18581 to 46451,"200,001 to 500,000",15 to 25,2016.0,40.0,41.0,AB,SF,Y,837.65,674.22,18581.0,46451.0,200001,500000.0,15.0,25.0
A00,Commercial,Office,Asia-Pacific,New,4646 to 9290,"50,001 to 100,000",7 to 14,2016.0,40.0,41.0,AB,SF,Y,794.88,673.25,4646.0,9290.0,500001,100000.0,7.0,14.0
A00,Commercial,Mixed use,Europe,New,Over 92903,Over 1 million,More than 25,2016.0,40.0,41.0,AB,SF,Y,726.44,645.19,92903.0,1000000000.0,1000000,inf,25.0,1000000000.0
A00,Commercial,Office,Asia-Pacific,New,18581 to 46451,"200,001 to 500,000",15 to 25,2016.0,40.0,41.0,AB,SF,Y,708.31,643.89,18581.0,46451.0,200001,500000.0,15.0,25.0
A00,Commercial,Mixed use,Asia-Pacific,New,Over 92903,Over 1 million,More than 25,2016.0,40.0,41.0,AB,SF,Y,747.62,636.62,92903.0,1000000000.0,1000000,inf,25.0,1000000000.0
A00,Commercial,Office,Asia-Pacific,New,Over 92903,Over 1 million,More than 25,2016.0,40.0,41.0,AB,SF,Y,803.17,620.59,92903.0,1000000000.0,1000000,inf,25.0,1000000000.0
A00,Commercial,Office,Asia-Pacific,New,9291 to 18580,"100,001 to 200,000",7 to 14,2016.0,40.0,41.0,AB,SF,Y,779.14,619.74,9291.0,18580.0,100001,200000.0,7.0,14.0
A00,Commercial,Office,Asia-Pacific,New,Over 92903,Over 1 million,More than 25,2016.0,40.0,41.0,AB,SF,Y,781.31,603.72,92903.0,1000000000.0,1000000,inf,25.0,1000000000.0
A00,Commercial,Office,Middle East,New,Over 92903,Over 1 million,More than 25,2016.0,40.0,41.0,AB,SF,Y,749.32,595.91,92903.0,1000000000.0,1000000,inf,25.0,1000000000.0
A00,Commercial,Office,Asia-Pacific,New,Over 92903,Over 1 million,More than 25,2016.0,40.0,41.0,AB,SF,Y,712.96,590.35,92903.0,1000000000.0,1000000,inf,25.0,1000000000.0
A00,Commercial,Office,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",More than 25,2016.0,40.0,41.0,AB,SF,Y,769.74,583.2,46452.0,92903.0,500001,1000000.0,25.0,1000000000.0
A00,Commercial,Other,Asia-Pacific,New,9291 to 18580,"100,001 to 200,000",1 to 6,2016.0,40.0,41.0,AB,SF,Y,635.78,582.83,9291.0,18580.0,100001,200000.0,1.0,6.0
A00,Residential,Multi-family,North America,New,46452 to 92903,"500,001 to 1 million",More than 25,2016.0,40.0,41.0,AB,SF,Y,728.34,581.32,46452.0,92903.0,500001,1000000.0,25.0,1000000000.0
A00,Commercial,Other,Asia-Pacific,New,4646 to 9290,"50,001 to 100,000",1 to 6,2016.0,40.0,41.0,AB,SF,Y,670.62,579.16,4646.0,9290.0,500001,100000.0,1.0,6.0
A00,Commercial,Office,North America,New,18581 to 46451,"200,001 to 500,000",1 to 6,2016.0,40.0,41.0,AB,SF,Y,686.86,578.9,18581.0,46451.0,200001,500000.0,1.0,6.0
A00,Commercial,Office,Europe,New,9291 to 18580,"100,001 to 200,000",7 to 14,2016.0,40.0,41.0,AB,SF,Y,713.19,575.17,9291.0,18580.0,100001,200000.0,7.0,14.0
A00,Commercial,Office,North America,New,Over 92903,Over 1 million,15 to 25,2016.0,40.0,41.0,AB,SF,Y,710.71,574.36,92903.0,1000000000.0,1000000,inf,15.0,25.0
A00,Commercial,Other,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",1 to 6,2016.0,40.0,41.0,AB,SF,Y,707.13,572.07,46452.0,92903.0,500001,1000000.0,1.0,6.0
A00,Commercial,Other,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",7 to 14,2016.0,40.0,41.0,AB,SF,Y,695.77,563.73,46452.0,92903.0,500001,1000000.0,7.0,14.0
A00,Commercial,Office,North America,New,18581 to 46451,"200,001 to 500,000",More than 25,2016.0,40.0,41.0,AB,SF,Y,665.67,561.49,18581.0,46451.0,200001,500000.0,25.0,1000000000.0
A00,Residential,Multi-family,North America,New,46452 to 92903,"500,001 to 1 million",More than 25,2016.0,40.0,41.0,AB,SF,Y,692.97,553.79,46452.0,92903.0,500001,1000000.0,25.0,1000000000.0
A00,Commercial,Lodging,Asia-Pacific,New,4646 to 9290,"50,001 to 100,000",More than 25,2016.0,40.0,41.0,AB,SF,Y,641.71,542.2,4646.0,9290.0,500001,100000.0,25.0,1000000000.0
A00,Commercial,Office,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",More than 25,2016.0,40.0,41.0,AB,SF,Y,667.47,533.9,46452.0,92903.0,500001,1000000.0,25.0,1000000000.0
A00,Commercial,Lodging,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",More than 25,2016.0,40.0,41.0,AB,SF,Y,690.45,533.58,46452.0,92903.0,500001,1000000.0,25.0,1000000000.0
A00,Commercial,Office,Asia-Pacific,New,9291 to 18580,"100,001 to 200,000",15 to 25,2016.0,40.0,41.0,AB,SF,Y,601.09,529.3,9291.0,18580.0,100001,200000.0,15.0,25.0
A00,Commercial,Office,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",More than 25,2016.0,40.0,41.0,AB,SF,Y,662.42,525.5,46452.0,92903.0,500001,1000000.0,25.0,1000000000.0
A00,Commercial,Other,Middle East,New,Over 92903,Over 1 million,1 to 6,2016.0,40.0,41.0,AB,SF,Y,684.39,522.68,92903.0,1000000000.0,1000000,inf,1.0,6.0
A00,Commercial,Office,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",More than 25,2016.0,40.0,41.0,AB,SF,Y,656.95,521.6,46452.0,92903.0,500001,1000000.0,25.0,1000000000.0
A00,Commercial,Office,North America,New,466 to 929,"5,001 to 10,000",1 to 6,2016.0,40.0,41.0,AB,SF,Y,636.14,517.89,466.0,929.0,5001,10000.0,1.0,6.0
A00,Commercial,Office,Europe,New,46452 to 92903,"500,001 to 1 million",More than 25,2016.0,40.0,41.0,AB,SF,Y,649.63,517.12,46452.0,92903.0,500001,1000000.0,25.0,1000000000.0
A00,Commercial,Office,Asia-Pacific,New,46452 to 92903,"500,001 to 1 million",More than 25,2016.0,40.0,41.0,AB,SF,Y,666.56,514.75,46452.0,92903.0,500001,1000000.0,25.0,1000000000.0
