Build-up Reference,Description,Functional Unit,Materials included,Volume/FU (m3/FU),ICE V3 Reference,ICE V3 kgCO2e/kg value,ICE V3 biogenic kgCO2e/kg value,Density used,Buildup kgCO2e/FU,Buildup biogenic kgCO2e/FU,TOTAL kgCO2e/FU,TOTAL BIOGENIC kgCO2e/FU,Mass kg/FU,buildup type,type structure,TOTAL kgCO2e/kg
Façade: Load Bearing Brick,Brick and mortar wall held back to structure with stainless steel brickties,m2,Brick,0.09485,"Clay, Brick",0.213,,2000.0,40.4061,0.0,46.3404928555,0.0,223.50103650000003,Façade, Load Bearing Brick,0.2073390512240421
Façade: Load Bearing Brick,Brick and mortar wall held back to structure with stainless steel brickties,m2,Mortar,0.01765,Mortar (1:1:6 Cement:Lime:Sand Mix),0.142,,1900.0,4.761969999999999,0.0,46.3404928555,0.0,223.50103650000003,Façade, Load Bearing Brick,0.2073390512240421
Façade: Load Bearing Brick,Brick and mortar wall held back to structure with stainless steel brickties,m2,Stainless Steel,3.389e-05,"Steel, Stainless",4.407,,7850.0,1.1724228555000002,0.0,46.3404928555,0.0,223.50103650000003,Façade, Load Bearing Brick,0.2073390512240421
Façade: Brick with SFS,Brick and mortar wall held back to steel framing system with steel brickties,m2,Brick,0.09485,"Clay, Brick",0.213,,2000.0,40.4061,0.0,94.42747335549998,0.0,234.41253650000002,Façade, Brick with SFS,0.40282603808393147
Façade: Brick with SFS,Brick and mortar wall held back to steel framing system with steel brickties,m2,Mortar,0.01765,Mortar (1:1:6 Cement:Lime:Sand Mix),0.142,,1900.0,4.761969999999999,0.0,94.42747335549998,0.0,234.41253650000002,Façade, Brick with SFS,0.40282603808393147
Façade: Brick with SFS,Brick and mortar wall held back to steel framing system with steel brickties,m2,Stainless Steel,0.01915,"Steel, Stainless",4.407,,7850.0,662.4932925,0.0,94.42747335549998,0.0,234.41253650000002,Façade, Brick with SFS,0.40282603808393147
Façade: SFS with Ceramic Tiles,300mm high tiles supported on stainless steel hangers,m2,Ceramic (Stoneware),0.02,"Ceramics, Tiles and Cladding Panels",0.78,,2400.0,37.440000000000005,0.0,85.52698050000001,0.0,58.911500000000004,Façade, SFS with Ceramic Tiles,1.451787520263446
Façade: SFS with Ceramic Tiles,300mm high tiles supported on stainless steel hangers,m2,Stainless Steel,0.00139,"Steel, Stainless",4.407,,7850.0,48.0869805,0.0,85.52698050000001,0.0,58.911500000000004,Façade, SFS with Ceramic Tiles,1.451787520263446
Façade: SFS Zinc Cladding,1.5mm zinc sheet supported on stainless steel hangers,m2,Zinc,0.0015,"Zinc, General",3.09,,7140.0,33.093900000000005,0.0,62.01527820000001,0.0,17.2726,Façade, SFS Zinc Cladding,3.5903846670449155
Façade: SFS Zinc Cladding,1.5mm zinc sheet supported on stainless steel hangers,m2,Stainless Steel,0.000836,"Steel, Stainless",4.407,,7850.0,28.921378200000003,0.0,62.01527820000001,0.0,17.2726,Façade, SFS Zinc Cladding,3.5903846670449155
Façade: Blockwork with Timber Cladding,30mm timber rainscreen supported on 200 x 40 mm battens at 0.5m centres with blockwork inner leaf,m2,Softwood,0.046,"Timber, Softwood",0.263,-1.55,510.0,6.169980000000001,-36.363,19.669980000000002,-36.363,169.36,Façade, Blockwork with Timber Cladding,0.11614300897496457
Façade: Blockwork with Timber Cladding,30mm timber rainscreen supported on 200 x 40 mm battens at 0.5m centres with blockwork inner leaf,m2,Concrete block,0.1,Medium Density Blockwork,0.09252912954078135,0.0,1459.0,13.5,0.0,19.669980000000002,-36.363,169.36,Façade, Blockwork with Timber Cladding,0.11614300897496457
